"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps261",2.27609065765082e-11,1.26673072906803,0.195,0.055,5.54956424148422e-07,"Optic nerve","Rps26"
"Lgals31",2.37967818863847e-11,2.6712953847192,0.121,0.01,5.80213135953833e-07,"Optic nerve","Lgals3"
"Stmn41",2.99692051702684e-11,1.99225534176161,0.133,0.017,7.30709160461484e-07,"Optic nerve","Stmn4"
"Tmeff21",3.35916775350859e-11,11.1504878132229,0.1,0,8.19032281660465e-07,"Optic nerve","Tmeff2"
"Rps4x1",3.83528723079898e-11,1.17918726239882,0.171,0.04,9.35119732613408e-07,"Optic nerve","Rps4x"
"Rps31",3.91367651269562e-11,1.19759229569868,0.184,0.047,9.54232607325446e-07,"Optic nerve","Rps3"
"Lrrc171",5.02352667936836e-11,9.38753560802241,0.098,0,1.22483627496359e-06,"Optic nerve","Lrrc17"
"Pacs21",7.18670355798207e-11,2.90117285846191,0.112,0.007,1.75226206150719e-06,"Optic nerve","Pacs2"
"Sec11c",9.41857118455102e-11,1.73254150323195,0.12,0.012,2.29643602621723e-06,"Optic nerve","Sec11c"
"Rhoa1",1.19393379439369e-10,2.01911148646007,0.133,0.02,2.91104937749069e-06,"Optic nerve","Rhoa"
"Ywhaq1",1.32219461687521e-10,2.43637050289156,0.127,0.017,3.22377491486514e-06,"Optic nerve","Ywhaq"
"Fa2h",1.51429235161545e-10,3.75648151832636,0.099,0.002,3.6921476117088e-06,"Optic nerve","Fa2h"
"Cotl11",2.22300706847091e-10,1.24900854104128,0.172,0.045,5.42013583434578e-06,"Optic nerve","Cotl1"
"Tppp1",2.29704935414359e-10,10.2783710164712,0.092,0,5.60066573527291e-06,"Optic nerve","Tppp"
"Gnb1l",2.98289136221589e-10,2.08333049371423,0.119,0.015,7.27288571935479e-06,"Optic nerve","Gnb1l"
