	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ndufb11	0.000131946	-0.435561493	0.062	0.075	1	RIR	Ndufb11
Slc7a11	0.000132694	0.621629626	0.015	0.009	1	RIR	Slc7a11
Nudt2	0.000135461	-0.6769899	0.011	0.017	1	RIR	Nudt2
Tgfa	0.000135642	0.351359683	0.015	0.009	1	RIR	Tgfa
Tbc1d22a	0.000136064	0.363266512	0.046	0.035	1	RIR	Tbc1d22a
Prkg1	0.000137121	-0.324447325	0.101	0.117	1	RIR	Prkg1
Mcub	0.000138102	0.554370172	0.01	0.005	1	RIR	Mcub
Pcolce2	0.000138499	-0.675100175	0.01	0.015	1	RIR	Pcolce2
Ahr	0.000138631	0.781313823	0.021	0.014	1	RIR	Ahr
Swt1	0.000139096	0.664869773	0.021	0.014	1	RIR	Swt1
Il17ra	0.000140029	0.757997039	0.013	0.008	1	RIR	Il17ra
Mgll	0.000140403	-0.764555197	0.081	0.094	1	RIR	Mgll
Hint1	0.000142574	-0.340793487	0.152	0.169	1	RIR	Hint1
Anxa5	0.000145251	-0.442542293	0.091	0.106	1	RIR	Anxa5
Dynlrb1	0.000148629	-0.357308126	0.064	0.077	1	RIR	Dynlrb1
Kdm2a	0.000149013	0.428176941	0.062	0.05	1	RIR	Kdm2a
Chchd10	0.000150786	-0.656202815	0.045	0.055	1	RIR	Chchd10
Npr3	0.000152026	-0.577350145	0.022	0.029	1	RIR	Npr3
Abcd3	0.00015285	-0.54311048	0.069	0.082	1	RIR	Abcd3
Ifit3b	0.000153382	0.518248081	0.025	0.017	1	RIR	Ifit3b
Fli1	0.000153882	0.707390919	0.029	0.02	1	RIR	Fli1
Eif5a	0.000154398	-0.223455256	0.21	0.226	1	RIR	Eif5a
Snx13	0.000155997	0.342387417	0.031	0.023	1	RIR	Snx13
Prdm2	0.000160227	0.443764735	0.031	0.022	1	RIR	Prdm2
Adgrd1	0.000160289	-0.942908758	0.009	0.014	1	RIR	Adgrd1
Hmox1	0.000160956	1.048234417	0.014	0.009	1	RIR	Hmox1
Htra3	0.000162153	1.14629683	0.012	0.007	1	RIR	Htra3
Serping1	0.000162226	0.184087786	0.065	0.052	1	RIR	Serping1
